---,BaseValue,MinValue,MaxValue,DerivedAttributeInfo,bCanStack
CombatantAttributeSet.maxHP,100.000000","0.000000","1000000000.000000","","True"
CombatantAttributeSet.damageReduction_flat,"0.000000","-1000000.000000","1000000.000000","","True"
CombatantAttributeSet.damageReduction_percent,"0.000000","-1000000.000000","1000000.000000","","True"
CombatantAttributeSet.healthRegen_flat,"0.000000","-1000000.000000","1000000.000000","","True"
CombatantAttributeSet.healthRegen_percent,"0.000000","-1000000.000000","1000000.000000","","True"
CombatantAttributeSet.critChance,"0.000000","0.000000","1.000000","","True"
CombatantAttributeSet.critMultiplier,"2.000000","1.000000","1000000.000000","","True"
CombatantAttributeSet.attackSpeed,"1.000000","0.0001,"1000000.000000","","True"
CombatantAttributeSet.bonusBounces,"0.000000","-1000000.000000","1000000.000000","","True"
CombatantAttributeSet.bonusPierce,"0.000000","-1000000.000000","1000000.000000","","True"
CombatantAttributeSet.bonusProjectiles,"0.000000","-1000000.000000","1000000.000000","","True"
CombatantAttributeSet.projectileSpeed,"1.000000","-1000000.000000","1000000.000000","","True"
CombatantAttributeSet.projectileSize,"1.000000","0.0001,"1000000.000000","","True"
CombatantAttributeSet.AOESize,"1.000000","0.0001,"1000000.000000","","True"
CombatantAttributeSet.movementSpeed,"1.000000","-1000000.000000","1000000.000000","","True"
CombatantAttributeSet.range,"1.000000","0.0001,"1000000.000000","","True"
CombatantAttributeSet.contactDamage,"0.000000","-1000000.000000","1000000000.000000","","True"
CombatantAttributeSet.currentHP,"1.000000","0.000000","1000000000.000000","","True"
